timestamp,severity,checker,module,message
2025-12-01 02:12:05.348000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.5374999"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 02:12:05.873000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.557116485"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 02:12:18.103000,LOW,capture_finalization_checker,Engine,Event LM-ULT1-M-0000190821 finalized as event_approved
2025-12-01 02:12:22.212000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 02:12:22.212000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 02:12:22.215000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 02:12:22.215000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 02:12:22.219000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 02:12:22.219000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 02:12:22.221000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 02:12:22.221000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 02:12:22.242000,HIGH,error_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 02:12:22.242000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 02:16:56.880000,LOW,capture_trigger_checker,MsmSystem,"Start code '2981728' received, requesting new capture with payload:{""IdRemito"":2981728,""FechaHora"":""2025-12-01T02:16:57.6145792-03:00"",""Especie"":197,""Largo"":""6800-7400 var"",""VolumenArbol"":0.14,""Categoria"":1,""TipoCamion"":null,""CantidadBancos"":0,""CantidadVehiculos"":0,""PesoNeto"":30.140,""PesoBruto"":45.180,""AlturaMaxima"":0.0,""Proveedor"":""no"",""IdModelo"":1,""Matricula"":""QTP2924"",""Establecimiento"":""Villarural S.A. - Next Gen SAS"",""DensidadMinima"":690.0,""DensidadMaxima"":790.0}"
2025-12-01 02:17:51.419000,MEDIUM,warning_checker,MsmSystem,"[LM-ULT1-M-0000190822] ID Manager: not vehicle ID available,"
2025-12-01 02:18:16.134000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo category"
2025-12-01 02:18:16.138000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo bark"
2025-12-01 02:18:16.153000,MEDIUM,warning_checker,Main,No se pudo insertar el valor solidVolumeReference
2025-12-01 02:18:16.166000,MEDIUM,warning_checker,Main,No se pudo insertar el valor stereoVolumeReference
2025-12-01 02:18:16.264000,HIGH,error_message_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 02:18:16.264000,MEDIUM,warning_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 02:18:39.938000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.50913456"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 02:18:40.465000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.547061655"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 02:18:52.810000,LOW,capture_finalization_checker,Engine,Event LM-ULT1-M-0000190822 finalized as event_approved
2025-12-01 02:18:57.190000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 02:18:57.190000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 02:18:57.192000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 02:18:57.192000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 02:18:57.196000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 02:18:57.196000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 02:18:57.199000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 02:18:57.199000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
